town,state,year,subject,creator,type,attribution,image,fig_num
Farmington,ME,1830,David Ingham House,Jonathan D. Poor and Paine,mural,tradition,,
Farmington,ME,1830,Robert C. Bruce House,Jonathan D. Poor and Paine,mural,tradition,,
Farmington Falls,ME,1830,Russ House,Jonathan D. Poor and Paine,mural,tradition,,96
Fayette,ME,1835,Lieutenant John Lovejoy House,Jonathan D. Poor,mural,tradition,,
Limerick,ME,1830,McDonald Inn,Paine,mural,tradition,,
Limerick,ME,1830,Furlong House,Paine,mural,tradition,,
Mt. Vernon,ME,1835,Burbank House,Jonathan D. Poor,mural,tradition,"""images/silas-burbank-JDP.png""",
Mt. Vernon,ME,1835,Arthur Gordon House,Jonathan D. Poor,mural,tradition,,
New Sharon,ME,1840,Robert C. Bruce House,Jonathan D. Poor,mural,tradition,,
North Parsonfield,ME,1830,Frank Chapman House,Jonathan D. Poor and Paine,mural,tradition,,
North Parsonfield,ME,1830,Helen Cating House,Jonathan D. Poor and Paine,mural,tradition,,
North Parsonfield,ME,1830,Dr. William Reid House,Jonathan D. Poor and Paine,mural,tradition,,
Readfield,ME,1835,Captain Dudley Haines House,Jonathan D. Poor,mural,tradition,,"color plate 21, color plate 22"
Standish,ME,1830,Warren Pederson House,Jonathan D. Poor,mural,tradition,"""images/warran-pederson-JDP.png""",color plate 17
Standish,ME,1830,Barbara E. Parker House,Paine,mural,tradition,,
Strong,ME,1835,William McClary House,Jonathan D. Poor,mural,tradition,,
Vienna,ME,1833,Nathaniel Whittier House,Jonathan D. Poor,mural,tradition,,
Vienna,ME,1833,Gilman Batchelder House,Jonathan D. Poor,mural,tradition,,
Vienna,ME,1833,Unidentified House,Jonathan D. Poor,mural,tradition,,
Bradford,NH,1824,Joshua Eaton House,"Rufus Porter and Moses Eaton, Jr.",mural,tradition,,"60, color plate 3, color plate 5"
